ID;Site;Latitude ;Longitude ;Exact location ;Literary source;Site type;Min_date;Max_date;Bibliography - title nr. 1 ;DOI;Bibliography - title nr. 2 ;DOI;Notes
1;Adrianos (Arkouda) Fortetsa ;35,205351;25,619487;Y;N;fortification;301;824;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
2;Adrianos (Arkouda) Fortetsa ;35,205351;25,619487;Y;N;fortification;961;1205;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
3;Afendis Christos - GOUR117;35,058771;25,813124;Y;N;settlement ;401;824;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
4;Aforesmenos 01;35,330629;25,76241;Y;N;church\hamlet       ;1101;1205;author΄s observation ;;;;
5;Aforesmenos 02;35,14273;25,752346;Y;N;hamlet;801;1205;"author;s observation ";;;;
6;Afrati ;35,104916;25,353668;N;N;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;Lassithiotakes, Konstantinos. 1970. Ekklesies Dytikes Kretes (D' Eparchia Selinou. Kretika Chronika 22, 133-210.;;coordinates: village center
7;Ag. Anna (Agriles) ;35,298954;23,790879;Y;N;church;401;824;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;Lassithiotakes, Konstantinos. 1970. Ekklesies Dytikes Kretes (D' Eparchia Selinou. Kretika Chronika 22, 133-210.;;
8;Ag. Anna (Agriles) ;35,298954;23,790879;Y;N;church;961;1205;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;Lassithiotakes, Konstantinos. 1970. Ekklesies Dytikes Kretes (D' Eparchia Selinou. Kretika Chronika 22, 133-210.;;
9;Ag. Anna (Elevtherna - Anachourdometocha);35,32875;24,675981;Y;;settlement\cistern;501;824;Sanders, Ian F. 1982. Roman Crete: an archaeological survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;"Kalpaxes, Athanasios. 2004. Oi ""Akropoleis"" tes Eleythernas. Kentrikos anaskafikos tomeas II. In Stampolides, Nikolaos C. (ed.). Eleytherna. Poli - Akropoli - Nekropoli. Athens: Museum of Cycladic art,  104-115.";;
10;Ag. Anna (Elevtherna - Anachourdometocha);35,32875;24,675981;Y;;settlement\cistern;961;1205;Sanders, Ian F. 1982. Roman Crete: an archaeological survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;"Kalpaxes, Athanasios. 2004. Oi ""Akropoleis"" tes Eleythernas. Kentrikos anaskafikos tomeas II. In Stampolides, Nikolaos C. (ed.). Eleytherna. Poli - Akropoli - Nekropoli. Athens: Museum of Cycladic art,  104-115.";;
11;Ag. Anna (Opsigias);35,230887;24,656807;Y;N;church;961;1205;Fantakes, Ioannis 2001. Oi oikismoi tes Kretes kata ten B' Vyzantine periodo. Rethymno: University of Crete. https://elocus.lib.uoc.gr/dlib/d/d/8/metadata-dlib-2001fantakis.tkl;;;;
12;Ag. Eirini (Elevtherna - Anachourdometocha);35,326819;24,676109;Y;N;church;401;700;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261..;;;;
13;Ag. Eirini (Elevtherna - Anachourdometocha);35,326819;24,676109;Y;N;church;1101;1205;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261.;;;;
14;Ag. Eirini (Sougia);35,249003;23,804646;Y;N;church;401;700;Gerola, Giuseppe. 1908. Monumenti Veneti nell’ isola di Creta vol. II, Venice.;;Curuni S. A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana. Venice.  37-113.;;
15;Ag. Eirini (Sougia);35,249003;23,804646;Y;;church;961;1205;Gerola, Giuseppe. 1908. Monumenti Veneti nell’ isola di Creta vol. II, Venice.;;Curuni S.A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana. Venice.  37-113.;;
16;Ag. Eleni (Kefali);35,363609;23,597572;N;;church;961;1205;Spitha-Pimple, Demetra. 1999. To diamerisma ton Chanion kata ten periodo tes Venetokratias (16os - 17os aionas) Ellotia 8, 15-25.;;;;coordinates: village center
17;Ag. Foteini and Ag. Spyridonas - Xokkleisi (Pediada Kastelliou);35,205778;25,33859;Y;;church;961;961;AΔ 62 (2007);;;;
18;Ag. Georgios (Sfakia);35,201393;24,134626;Υ;;settlement;501;600;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
19;Ag. Georgios Square (Kindergarden, Kastelli);35,207673;25,339368;Y;;fortification;201;824;ΑΔ Β2 Χρονικά 44, 1989, Μέρος Β΄2 - Χρονικά. ΚΓ΄Εφορεία Προϊστορικών και Κλασσικών Αρχαιοτητων, 528 - 529, Πίν. 245.;;ΑΔ Β2 Χρονικά 47 (1992);;official site: ΥΠΠΟ/ΑΡΧ/Α1/Φ43/22171/1244
20;Ag. Georgios Square (Kindergarden, Kastelli);35,207673;25,339368;Y;;fortification;961;1205;ΑΔ Β2 Χρονικά 44, 1989, Μέρος Β΄2 - Χρονικά. ΚΓ΄Εφορεία Προϊστορικών και Κλασσικών Αρχαιοτητων, 528 - 529, Πίν. 245.;;ΑΔ Β2 Χρονικά 47 (1992);;official site: ΥΠΠΟ/ΑΡΧ/Α1/Φ43/22171/1244
21;Ag. Giorgos - AKS KK4;35,536782;24,052516;Y;;settlement;301;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
22;Ag. Ioannis Voulgaris ;35,2281;24,670271;Y;;church;961;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;Kalokyres, Konstantinos, D. 1952. Vyzantina mnemeia Kretes. Kretika Chronika ST', 2, 211 - 217;;
23;Ag. Kyriaki - AKS KE1B - Chalepa;35,523057;24,046182;Y;;settlement;201;300;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
24;Ag. Kyriaki - AKS KE1B - Chalepa;35,523057;24,046182;Y;;settlement;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
25;Ag. Kyriaki by Kandanos;35,319534;23,740313;Y;;church;401;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;Lassithiotakes, Konstantinos. 1970. Ekklesies Dytikes Kretes (D' Eparchia Selinou. Kretika Chronika 22, 133-210.;;
26;Ag. Marina - Mouri;35,238597;24,123761;Y;;settlemen\church;961;1205;Lassithiotakes, Konstantinos. 1968. Ekklesies tes Dytikes Kretes. Kretika chronika 21. 177 - 233, 459 - 493. ;;;;Also named as Mourio, Mavri. Abandoned settlement visible on aerial maps. 
27;Ag. Marina - Pera Kouneni;35,358523;23,593785;Y;;church;961;1205;Spitha-Pimple, Demetra. 1999. To diamerisma ton Chanion kata ten periodo tes Venetokratias (16os - 17os aionas) Ellotia 8, 15-25.;;;;
28;Ag. Marina - Ravdoucha;35,539712;23,731092;Y;;church;961;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;Lassithiotakes, Konstantinos. 1970. Ekklesies Dytikes Kretes (D' Eparchia Selinou. Kretika Chronika 22, 133-210.;;
29;Ag. Niketas - Fraggokastello;35,183459;24,237924;Y;;settlement\church;401;800;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
30;Ag. Onouphrios - AKS KP5;35,54851;24,056335;Y;;settlement;201;800;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
31;Ag. Paraskevi - Sfinari;35,416644;23,566858;Y;;church;961;1205;Spitha-Pimple, Demetra. 1999. To diamerisma ton Chanion kata ten periodo tes Venetokratias (16os - 17os aionas) Ellotia 8, 15-25.;;;;
32;Ag. Pavlos/Ag.Giorgos - AKS AP2;35,580518;24,1085;Y;;settlement ;201;800;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
33;Ag. Photia ;35,19141;26,1513;N;;settlement ;301;400;Pendlebury, J., Money-Coutts, M., & Eccles, E. (1933). Journeys in Crete, 1934. The Annual of the British School at Athens, 33, 80-100.;10.1017/S0068245400011849;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;coordinates: village center
34;Ag. Preveli - monastery;35,157553;24,456253;Y;;monastery;1201;1205;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;;;
35;Aghia Galini - Soulia;35,096499;24,688123;Y;;settlement\city\church\cemetery;201;800;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Vogt, Christine. 1991–1993. Protovyzantine Keramike apo ten Agia Galene. Kretike Estia D4, 39–75.;;ancient Soulia, coin: Konst. V. (741-775), Panagia: 11th - 12th c., official site: ΥΠΠΟ/ΑΡΧ/Α1/Φ25/65156/2864/21/12/1993/10/2/1994
36;Aghia Galini - Soulia;35,096499;24,688123;Y;;settlement\city\church\cemetery;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Vogt, Christine. 1991–1993. Protovyzantine Keramike apo ten Agia Galene. Kretike Estia D4, 39–75.;;ancient Soulia, coin: Konst. V. (741-775), Panagia: 11th - 12th c., official site: ΥΠΠΟ/ΑΡΧ/Α1/Φ25/65156/2864/21/12/1993/10/2/1994
37;Agia ;35,473462;23,932922;N;;settlement\church;201;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;10th - 11th c. bishop seat, coordinates: village center
38;Agia (Episkopi) - Panagia ;35,476494;23,926743;Y;;church;401;500;Curuni, S. A. –Donati, L. D. 2009. Creta Bizantina. Rilievi e note critiche sutrentaquattro edifici di culto in relazione all’opera di Giuseppe Gerola (Istituto Veneto di Scienze,Lettere ed Arti), Venezia.;;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;
